sample,in_l_8,out_l_10
0,32,0
1,96,0
2,96,0
3,96,0
4,96,0
5,96,0
6,96,0
7,96,1
8,96,2
9,96,2
10,96,2
11,96,2
12,96,2
13,96,2
14,96,2
15,96,2
16,96,2
17,96,2
18,96,2
19,96,2
20,96,2
21,96,2
22,96,2
23,96,2
24,96,2
25,32,2
26,32,2
27,32,2
28,32,2
29,32,2
30,32,2
31,32,1
32,32,1
33,32,0
34,32,0
35,32,0
36,32,0
37,32,0
38,32,0
39,32,0
40,32,0
41,32,0
42,32,0
43,32,0
44,32,0
45,32,0
46,32,0
47,32,0
48,32,0
49,96,0
50,96,0
51,96,0
52,96,0
53,96,0
54,96,1
55,96,1
56,96,2
57,96,2
58,96,2
59,96,2
60,96,2
61,96,2
62,96,2
63,96,2
64,96,2
65,96,2
66,96,2
67,96,2
68,96,2
69,96,2
70,96,2
71,96,2
72,96,2
73,32,2
74,32,2
75,32,2
76,32,2
77,32,2
78,32,2
79,32,1
80,32,1
81,32,0
82,32,0
83,32,0
84,32,0
85,32,0
86,32,0
87,32,0
88,32,0
89,32,0
90,32,0
91,32,0
92,32,0
93,32,0
94,32,0
95,32,0
96,32,0
97,96,0
98,96,0
99,96,0
100,96,0
101,96,0
102,96,1
103,96,1
104,96,2
105,96,2
106,96,2
107,96,2
108,96,2
109,96,2
110,96,2
111,96,2
112,96,2
113,96,2
114,96,2
115,96,2
116,96,2
117,96,2
118,96,2
119,96,2
120,96,2
121,32,2
122,32,2
123,32,2
124,32,2
125,32,2
126,32,2
127,32,1
128,32,1
129,32,0
130,32,0
131,32,0
132,32,0
133,32,0
134,32,0
135,32,0
136,32,0
137,32,0
138,32,0
139,32,0
140,32,0
141,32,0
142,32,0
143,32,0
144,32,0
145,96,0
146,96,0
147,96,0
148,96,0
149,96,0
150,96,1
151,96,1
152,96,2
153,96,2
154,96,2
155,96,2
156,96,2
157,96,2
158,96,2
159,96,2
160,96,2
161,96,2
162,96,2
163,96,2
164,96,2
165,96,2
166,96,2
167,96,2
168,96,2
169,32,2
170,32,2
171,32,2
172,32,2
173,32,2
174,32,2
175,32,1
176,32,1
177,32,0
178,32,0
179,32,0
180,32,0
181,32,0
182,32,0
183,32,0
184,32,0
185,32,0
186,32,0
187,32,0
188,32,0
189,32,0
190,32,0
191,32,0
192,32,0
193,96,0
194,96,0
195,96,0
196,96,0
197,96,0
198,96,1
199,96,1
200,96,2
201,96,2
202,96,2
203,96,2
204,96,2
205,96,2
206,96,2
207,96,2
208,96,2
209,96,2
210,96,2
211,96,2
212,96,2
213,96,2
214,96,2
215,96,2
216,96,2
217,32,2
218,32,2
219,32,2
220,32,2
221,32,2
222,32,2
223,32,1
224,32,1
225,32,0
226,32,0
227,32,0
228,32,0
229,32,0
230,32,0
231,32,0
232,32,0
233,32,0
234,32,0
235,32,0
236,32,0
237,32,0
238,32,0
239,32,0
240,32,0
241,96,0
242,96,0
243,96,0
